layerID,ComputeKer16,,FirstReadLatency,,FirstWeightOverhead,,IstageLastInputLatency,,IstageNoInputLatency,,IstageNoOutputLatency,,IstageNormalInputLatency,,IstageReadOverhead,,IstageWriteOverhead,,Iternumber,,LoadFeedingBuffer,,LoadKern_Data,,LoadKern_Total,,OStgBuffSeq,,ProcResult,,ProcResultLast,,ProcWeightLast,,ProcWeightLastNkpf,,ProcWeightLastRowStep,,ProcWeightNormal,,ProcWeightOverhead,,ReadInputFirst_Data,,ReadInputFirst_Total,,ReadInputLast_Data,,ReadInputLast_Total,,ReadInputNormal_Data,,ReadInputNormal_Total,,TotalLatency,,WriteOutputLast_Data,,WriteOutputLast_Total,,WriteOutputNormal_Data,,WriteOutputNormal_Total,
58,976.0,,0,,2172.0,,0,,6368.0,,0,,0,,10296.0,,428.0,,1,,2612.0,,2028.0,,2172.0,,168.0,,1144.0,,1144.0,,3756.0,,3756.0,,5224.0,,5224.0,,2612.0,,6552.0,,10296.0,,0.0,,0.0,,0.0,,0.0,,19592.0,,308.0,,428.0,,308.0,,428.0,
60,1584.0,,0,,17694.0,,0,,51564.0,,0,,0,,1980.0,,4280.0,,5,,3804.0,,17550.0,,17694.0,,168.0,,8088.0,,8088.0,,16176.0,,16176.0,,16176.0,,16176.0,,3804.0,,1260.0,,1980.0,,0.0,,0.0,,0.0,,0.0,,60324.0,,3080.0,,4280.0,,3080.0,,4280.0,
61,944.0,,0,,7944.0,,0,,15832.0,,0,,0,,396.0,,1712.0,,4,,3428.0,,7800.0,,7944.0,,168.0,,3944.0,,3944.0,,7888.0,,7888.0,,7888.0,,7888.0,,3428.0,,252.0,,396.0,,0.0,,0.0,,0.0,,0.0,,20440.0,,1232.0,,1712.0,,1232.0,,1712.0,
62,976.0,,0,,8256.0,,0,,16400.0,,0,,0,,10296.0,,1712.0,,4,,2612.0,,8112.0,,8256.0,,168.0,,4072.0,,4072.0,,8144.0,,8144.0,,8144.0,,8144.0,,2612.0,,6552.0,,10296.0,,0.0,,0.0,,0.0,,0.0,,30908.0,,1232.0,,1712.0,,1232.0,,1712.0,
63,976.0,,0,,14340.0,,0,,38776.0,,0,,0,,10296.0,,5136.0,,7,,2612.0,,14196.0,,14340.0,,168.0,,7000.0,,5048.0,,10096.0,,10096.0,,14000.0,,14000.0,,2612.0,,6552.0,,10296.0,,0.0,,0.0,,0.0,,0.0,,56708.0,,3696.0,,5136.0,,3696.0,,5136.0,
64,976.0,,0,,12312.0,,0,,24360.0,,0,,0,,10296.0,,2568.0,,6,,2612.0,,12168.0,,12312.0,,168.0,,6024.0,,6024.0,,12048.0,,12048.0,,12048.0,,12048.0,,2612.0,,6552.0,,10296.0,,0.0,,0.0,,0.0,,0.0,,39724.0,,1848.0,,2568.0,,1848.0,,2568.0,
65,976.0,,0,,3186.0,,0,,12166.0,,0,,0,,10296.0,,856.0,,1,,2612.0,,3042.0,,3186.0,,168.0,,1144.0,,1144.0,,3756.0,,3756.0,,5224.0,,5224.0,,2612.0,,6552.0,,10296.0,,0.0,,0.0,,0.0,,0.0,,25818.0,,616.0,,856.0,,616.0,,856.0,
67,1872.0,,0,,16992.0,,0,,66288.0,,0,,0,,2376.0,,5136.0,,4,,3804.0,,16848.0,,16992.0,,168.0,,7656.0,,7656.0,,15312.0,,15312.0,,15312.0,,15312.0,,3804.0,,1512.0,,2376.0,,0.0,,0.0,,0.0,,0.0,,76300.0,,3696.0,,5136.0,,3696.0,,5136.0,
68,1344.0,,0,,11844.0,,0,,22932.0,,0,,0,,792.0,,1712.0,,4,,3428.0,,11700.0,,11844.0,,168.0,,5544.0,,5544.0,,11088.0,,11088.0,,11088.0,,11088.0,,3428.0,,504.0,,792.0,,0.0,,0.0,,0.0,,0.0,,27936.0,,1232.0,,1712.0,,1232.0,,1712.0,
69,976.0,,0,,8256.0,,0,,16400.0,,0,,0,,10296.0,,1712.0,,4,,2612.0,,8112.0,,8256.0,,168.0,,4072.0,,4072.0,,8144.0,,8144.0,,8144.0,,8144.0,,2612.0,,6552.0,,10296.0,,0.0,,0.0,,0.0,,0.0,,30908.0,,1232.0,,1712.0,,1232.0,,1712.0,
